"Commodities","Rich Industrial","Average Industrial","Poor Industrial","Main Industrial","Main Agriculture","Rich Agriculture","Average Agriculture","Poor Agriculture"
Alloys,,,,,,,,0.7
Computers,,,,,,,,5.7
Firearms,,,,,,,,6.3
Food,156.6,133.3,106.6,80.0,50.0,26.6,,
Furs,35.6,29.7,23.7,17.5,11.7,5.9,,
Gem-Stones,12.9,10.7,8.0,6.4,4.3,2.1,,
Gold,6.7,5.7,4.5,3.4,2.3,1.3,,
Liquor/Wines,40.9,32.7,27.8,19.6,13.1,8.1,,
Luxuries,,,,,,,,3.2
Machineary,,,,,,,,3.8
Minerals,20.9,17.2,14.5,10.9,6.3,2.7,,
Platinum,6.6,5.3,4.2,3.2,2.2,1.0,,
Radioactives,35.1,29.1,23.4,17.3,11.3,5.8,,
Textiles,49.7,41.4,33.1,24.8,16.5,8.2,,
