"Commodities","Rich Industrial","Average Industrial","Poor Industrial","Main Industrial","Main Agriculture","Rich Agriculture","Average Agriculture","Poor Agriculture"
Alloys,,,,,,1.0,2.0,2.8
Computers,,,,,,6.5,13.2,19.7
Firearms,,,,,,7.2,14.3,21.5
Food,71.1,55.5,37.7,20.0,,,,
Furs,21.7,16.4,11.1,5.3,,,,
Gem-Stones,8.2,6.1,3.6,2.0,,,,
Gold,4.1,2.8,1.8,0.9,,,,
Liquor/Wines,24.6,17.3,13.0,5.7,,,,
Luxuries,,,,,,3.4,6.8,10.3
Machineary,,,,,,4.3,8.4,12.6
Minerals,13.6,10.2,7.6,4.2,,,,
Platinum,4.3,3.3,2.2,1.0,,,,
Radioactives,20.9,15.5,10.4,5.2,,,,
Textiles,28.4,21.3,14.2,7.1,,,,
