"Commodities","Rich Industrial","Average Industrial","Poor Industrial","Main Industrial","Main Agriculture","Rich Agriculture","Average Agriculture","Poor Agriculture"
Alloys,,,,,1.2,2.3,3.3,4.1
Computers,,,,,7.0,14.0,21.2,28.2
Firearms,,,,,7.8,15.6,23.2,31.0
Food,42.5,29.6,14.8,,,,,
Furs,15.6,10.5,5.4,,,,,
Gem-Stones,6.0,4.0,1.5,,,,,
Gold,3.0,1.7,0.7,,,,,
Liquor/Wines,17.8,10.9,6.6,,,,,
Luxuries,,,,,3.6,7.2,10.7,14.3
Machineary,,,,,4.3,8.8,13.2,17.5
Minerals,9.0,5.7,3.2,,,,,
Platinum,3.3,2.3,1.2,,,,,
Radioactives,14.9,9.8,4.9,,,,,
Textiles,199.0,13.2,6.8,,,,,
