"Commodities","Rich Industrial","Average Industrial","Poor Industrial","Main Industrial","Main Agriculture","Rich Agriculture","Average Agriculture","Poor Agriculture"
Alloys,,,,1.0,2.3,3.4,4.4,8.2
Computers,,,,7.6,15.2,22.7,30.5,38.0
Firearms,,,,8.6,17.1,25.6,33.9,42.4
Food,24.1,12.9,,,,,,
Furs,9.5,4.6,,,,,,
Gem-Stones,4.4,2.3,,,,,,
Gold,2.2,1.0,,,,,,
Liquor/Wines,10.2,4.8,,,,,,
Luxuries,,,,3.8,7.6,11.3,15.0,18.7
Machineary,,,,4.3,8.8,13.5,18.1,22.6
Minerals,5.5,2.4,,,,,,
Platinum,2.0,1.0,,,,,,
Radioactives,9.4,3.8,,,,,,
Textiles,12.4,6.2,,,,,,
