"Commodities","Rich Industrial","Average Industrial","Poor Industrial","Main Industrial","Main Agriculture","Rich Agriculture","Average Agriculture","Poor Agriculture"
Alloys,,,,,,,1.0,1.7
Computers,,,,,,,6.3,12.4
Firearms,,,,,,,6.6,13.3
Food,102.6,84.2,63.1,42.1,18.4,,,
Furs,28.0,22.4,16.8,10.7,5.1,,,
Gem-Stones,10.5,8.4,5.7,4.2,2.1,,,
Gold,5.2,3.9,2.8,2.0,1.0,,,
Liquor/Wines,30.3,22.7,18.1,11.0,5.5,,,
Luxuries,,,,,,,3.1,6.6
Machineary,,,,,,,3.9,7.9
Minerals,17.6,14.1,11.5,7.9,3.5,,,
Platinum,5.6,4.6,3.5,2.2,1.2,,,
Radioactives,27.6,21.9,16.6,10.6,4.5,,,
Textiles,38.3,30.6,22.9,15.3,7.6,,,
