"Commodities","Rich Industrial","Average Industrial","Poor Industrial","Main Industrial","Main Agriculture","Rich Agriculture","Average Agriculture","Poor Agriculture"
Alloys,,1.0,1.8,2.9,4.2,5.3,6.4,7.2
Computers,,9.1,18.1,27.2,36.2,45.0,54.2,63.1
Firearms,,10.1,20.1,30.5,40.7,50.9,60.9,71.1
Food,,,,,,,,
Furs,,,,,,,,
Gem-Stones,,,,,,,,
Gold,,,,,,,,
Liquor/Wines,,,,,,,,
Luxuries,,3.9,7.9,12.4,16.2,20.2,24.1,28.2
Machineary,,4.9,9.9,14.7,19.7,24.8,29.8,34.8
Minerals,,,,,,,,
Platinum,,,,,,,,
Radioactives,,,,,,,,
Textiles,,,,,,,,
